ID;Annots;hsa_miR_21;hsa_miR_22;hsa_miR_143;hsa_let_7b;hsa_miR_141;hsa_miR_148a;hsa_miR_26a_2;hsa_miR_24_1;hsa_miR_451_DICER1;hsa_miR_145;hsa_miR_99a;hsa_miR_30a;hsa_miR_126;hsa_miR_199a_2_3p;hsa_miR_142_5p;hsa_miR_125b_1;hsa_miR_205;hsa_miR_320_RNASEN;hsa_miR_378
1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
6;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
7;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0
9;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
10;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
17;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
22;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
23;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
29;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
30;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
44;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
45;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
54;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
56;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
57;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
69;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
72;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
79;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
83;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
